Full Name,Field,Sex,Birth Year,Place of Birth,Edition of First Appearance,QID,date of birth,VIAF,BND,Date of Death 1,Last Name,First Name,Middle Name,ImagePulledInFromWikidata,OccupationsSeparatedByCommas,TopRankOccupation
Phillips Brooks,Literature,Male,1835,"Boston, Massachusetts, United States",10,Q974734,1835-12-13,67275668,,1893-01-23,Brooks,Phillips,,https://commons.wikimedia.org/wiki/File:Phillips_Brooks.jpg,"priest, writer, hymnwriter",priest
Robert Barnabas Brough,Literature,Male,1828,"London, England, United Kingdom",10,Q7341877,1828-04-10,33358014,3577,1860-06-26,Brough,Robert,B,,journalist,journalist
"Henry Brougham, 1st Baron Brougham and Vaux","Military, Politics, and Law",Male,1778,"Cowgate, Edinburgh, Scotland",4,Q333220,1778-09-19,34592194,3581,1868-05-07,Brougham,Lord,,"https://commons.wikimedia.org/wiki/File:Henry_Brougham,_1st_Baron_Brougham_and_Vaux_by_James_Lonsdale.jpg","politician, writer, judge, philosopher, statesperson, jurist",politician
John Brown,Society,Male,1800,"Torrington, Litchfield County, Connecticut, United Kingdom",1,Q189366,1800-05-09,59091476,,1859-12-02,Brown,John,,https://commons.wikimedia.org/wiki/File:1846-47_John_Brown_by_Augustus_Washington_(without_frame).jpg,"abolitionist, entrepreneur, tanner, postmaster, social activist",abolitionist
Thomas Edward Brown,Literature,Male,1830,"Douglas, Isle of Man, United Kingdom",10,Q7789264,1830-05-05,17396996,3656,1897-10-29,Brown,Thomas,E,https://commons.wikimedia.org/wiki/File:T._E._Brown_(young).jpg,"poet, writer, theologian, teacher",poet
Tom Brown,Society,Male,1662,"Shropshire, United Kingdom",1,Q7815101,1662,19675122,3654,1704-06-18,Brown,Tom,,,translator,translator
Charles Farrar Browne,Literature,Male,1834,"Maine, United States",10,Q1064338,1834-04-26,52482810,,1867-03-06,Browne,Charles,F,https://commons.wikimedia.org/wiki/File:ArtemusWard.jpg,"comedian, writer, journalist",comedian
Thomas Browne,Other Sciences,Male,1605,"London, England, United Kingdom",7,Q313925,1605-10-19,41925299,3702,1682-10-19,Browne,Sir Thomas,,https://commons.wikimedia.org/wiki/File:Sir_Thomas_Browne_by_Joan_Carlile.jpg,"philosopher, physician writer, writer, physician",philosopher
William Browne,Literature,Male,1590,"Tavistock, Devon, England",7,Q3775720,1590,18015860,3706,1645,Browne,William,,,"poet, writer",poet
Henry Howard Brownell,Literature,Male,1820,"Providence, Rhode Island, United States",10,Q5723337,1820-02-06,60635204,,1872,Brownell,Henry,H,,"historian, poet, writer",historian
Robert Browning,Literature,Male,1812,"London, England, United Kingdom",7,Q233265,1812-05-07,24598774,3714,1889-12-12,Browning,Robert,,https://commons.wikimedia.org/wiki/File:Robert_Browning_by_Herbert_Rose_Barraud_c1888.jpg,"playwright, poet, writer, dramaturge",playwright
Elizabeth Barrett Browning,Literature,Female,1806,"Durham, England, United Kingdom",8,Q228494,1806-03-06,66464493,3711,1861-06-29,Browning,Elizabeth,,https://commons.wikimedia.org/wiki/File:ElizabethBarrettBrowning.jpg,"poet, screenwriter, essayist, pamphleteer, translator, writer",poet
William Jennings Bryan,"Military, Politics, and Law",Male,1860,"Salem, Scotland, United Kingdom",10,Q205282,1860-03-19,32004807,,1925-07-26,Bryan,William,J,https://commons.wikimedia.org/wiki/File:William_Jennings_Bryan.JPG,"politician, lawyer, diplomat, publisher, editor, writer",politician
William Cullen Bryant,Literature,Male,1794,"Cummington, Massachusetts",1,Q454840,1794-11-03,24640113,,1878-06-12,Bryant,William,Cullen,https://commons.wikimedia.org/wiki/File:William-Cullen-Bryant.jpeg,"poet, journalist, translator, writer, lawyer, politician",poet
Robert Williams Buchanan,Literature,Male,1841,"Caverswall, United Kingdom",10,Q5589250,1841-08-18,1.92E+08,32153,1901-06-10,Buchanan,Robert,W,https://commons.wikimedia.org/wiki/File:Portrait_of_Robert_Williams_Buchanan.jpg,"writer, poet, literary critic, novelist, playwright",writer
Richard Maurice Bucke,Other Sciences,Male,1837,"Methwold, United Kingdom",10,Q2150189,1837-03-18,56647741,,1902-02-19,Bucke,Richard,M,https://commons.wikimedia.org/wiki/File:Richard_Maurice_Bucke.jpg,"psychiatrist, writer",psychiatrist
"Georges-Louis Leclerc, Comte de Buffon",Other Sciences,Male,1707,"Montbard, Côte-d'Or, France",8,Q229264,1707-09-07,36915547,,1788-04-16,Buffon,,,https://commons.wikimedia.org/wiki/File:Georges-Louis_Leclerc_de_Buffon.jpg,"botanist, volcanologist, ornithologist, physicist, mathematician, translator, biologist, zoologist, philosopher, entomologist, astronomer, drawer, writer, naturalist",botanist
Alfred Bunn,Arts,Male,1796,"London, England, United Kingdom",8,Q4722386,1796-04-08,31984954,3940,1860-12-20,Bunn,Alfred,,"https://commons.wikimedia.org/wiki/File:Alfred_Bunn_Esqre_(BM_1906,1219.32).jpg","director, librettist",director
Henry Cuyler Bunner,Literature,Male,1855,"Oswego, New York, United States",10,Q12053854,1855-08-03,61910988,,1896-05-11,Bunner,Henry,C,https://commons.wikimedia.org/wiki/File:Bunner.jpg,"novelist, poet, short story writer, writer",novelist
John Bunyan,Religion,Male,1628,"Elstow, Bedfordshire, United Kingdom",1,Q108206,1628-11-28,71388170,3949,1688-08-31,Bunyan,John,,https://commons.wikimedia.org/wiki/File:John_Bunyan_by_Thomas_Sadler_1684.jpg,"theologian, writer, preacher, novelist, tinker",theologian
Samuel D. Burchard,"Military, Politics, and Law",Male,1836,"Leyden, Lewis County, New York, United States",9,Q2218116,1836-07-17,,,1901-09-01,Burchard,Samuel,D,https://commons.wikimedia.org/wiki/File:Samuel_D._Burchard_(Wisconsin_Congressman).jpg,politician,politician
Edmund Burke,"Military, Politics, and Law",Male,1729,"Dublin, Ireland",2,Q165792,1729-01-12,1.00E+08,4019,1797-07-09,Burke,Edmund,,"https://commons.wikimedia.org/wiki/File:Sir_Joshua_Reynolds_-_Edmund_Burke,_1729_-_1797._Statesman,_orator_and_author_-_PG_2362_-_National_Galleries_of_Scotland.jpg","politician, philosopher, writer, political scientist",politician
F. C. Burnand,Literature,Male,1836,"London, England, United Kingdom",10,Q5217819,1836-11-29,69306947,32183,1917-04-21,Burnand,Francis,C,https://commons.wikimedia.org/wiki/File:Francis_Burnand.png,"journalist, librettist, editor, writer, barrister",journalist
Robert Burns,Literature,Male,1759,"Alloway, South Ayrshire, Scotland, United Kingdom",1,Q81960,1759-01-25,32012434,4093,1796-07-21,Burns,Robert,,https://commons.wikimedia.org/wiki/File:Robert_Burns_1.jpg,"songwriter, poet, writer, musicologist, farmer",songwriter
Robert Burton,Literature,Male,1577,"Leicestershire, England, United Kingdom",3,Q259132,1577-02-08,24641986,4137,1640-01-25,Burton,Robert,,https://commons.wikimedia.org/wiki/File:Robert_Burton_by_Gilbert_Jackson.jpg,"essayist, writer, university teacher",essayist
William Allen Butler,"Military, Politics, and Law",Male,1825,"Albany, New York, United States",10,Q8004350,1825-02-20,60516884,,1902-09-09,Butler,William,A,https://commons.wikimedia.org/wiki/File:William_Allen_Butler_cph.3b02586.jpg,"lawyer, writer",lawyer
Samuel Butler,Literature,Male,1612,"Strensham, United Kingdom",1,Q258766,1612-02-03,64028293,4204,1680-09-25,Butler,Samuel,,https://commons.wikimedia.org/wiki/File:Samuel_Butler_by_Pieter_Borsseler.jpg,"poet, writer",poet
Mary Butts,Literature,Female,1890,"Poole, Dorset, England",10,Q2235837,1890-12-13,14796919,38304,1937-03-05,Butts,Mary,F,https://commons.wikimedia.org/wiki/File:Photograph_of_Mary_Butts.jpg,"novelist, writer",novelist
William Byrd,Arts,Male,1543,"Lincolnshire, England, United Kingdom",8,Q208375,1543,1.13E+08,4267,1623-07-04,Byrd,William,,https://commons.wikimedia.org/wiki/File:William_Byrd.jpg,"composer, organist",composer
John Byrom,Literature,Male,1692,"Manchester, Manchester, England, United Kingdom",1,Q1360179,1692-02-29,52488399,4278,1763-09-26,Byrom,John,,https://commons.wikimedia.org/wiki/File:John_Byrom.jpg,"poet, writer, inventor",poet
Lord Byron,Literature,Male,1788,"London, England, United Kingdom",1,Q5679,1788-01-22,95230688,4279,1824-04-19,Byron,Lord,,https://commons.wikimedia.org/wiki/File:Byron_1813_by_Phillips.jpg,"poet, lyricist, politician, playwright, autobiographer, translator, military personnel, diarist, writer, librettist, aristocrat, philhellene",poet
John C. Calhoun,"Military, Politics, and Law",Male,1782,"Abbeville, South Carolina, United States",8,Q207191,1782-03-18,32010914,,1850-03-31,Calhoun,John,C,https://commons.wikimedia.org/wiki/File:John_C._Calhoun.jpeg,"politician, lawyer, diplomat, writer",politician
Callimachus,Literature,Male,-300,"Cyrene, ancient Greek and Roman city",7,Q192417,-300,99454635,,-240,Callimachus,,,https://commons.wikimedia.org/wiki/File:WHToms_Callimachus.png,"poet, librarian, epigrammatist, mythographer, elegist, writer",poet
Charles Stuart Calverley,Literature,Male,1831,"Worcestershire, England, United Kingdom",10,Q4209191,1831-12-22,38066632,4409,1884-02-17,Calverley,Charles,S,https://commons.wikimedia.org/wiki/File:Charles_Stuart_Calverley.jpg,"poet, translator, writer, humorist",poet
Pierre Cambronne,"Military, Politics, and Law",Male,1770,"Nantes, Loire-Atlantique, France",4,Q472540,1770-12-26,52441604,,1842-01-29,Cambronne,,,https://commons.wikimedia.org/wiki/File:Pierre_Cambronne_portrait.jpg,"military personnel, politician",military personnel
William Camden,History and Philosophy,Male,1551,"London, England, United Kingdom",9,Q364239,1551-05-02,64132346,4431,1623-11-09,Camden,William,,https://commons.wikimedia.org/wiki/File:William_Camden_by_Marcus_Gheeraerts_the_Younger.jpg,"antiquarian, heraldist, writer, historian",antiquarian
"John Campbell, 1st Baron Campbell","Military, Politics, and Law",Male,1779,"Cupar, Fife, Scotland",7,Q332738,1779-09-15,51763020,4521,1861-06-23,Campbell,Lord John,,https://commons.wikimedia.org/wiki/File:1stBaronCampbell.JPG,"judge, politician, writer",judge
Thomas Campbell,Literature,Male,1777,"Glasgow, Scotland, United Kingdom",1,Q1361189,1777-07-27,39510901,4534,1844-06-15,Campbell,Thomas,,https://commons.wikimedia.org/wiki/File:Thomas_Campbell.jpg,"poet, musicologist, writer, journalist",poet
George Canning,"Military, Politics, and Law",Male,1770,"London, England, United Kingdom",1,Q219731,1770-04-11,7443935,4556,1827-08-08,Canning,George,,"https://commons.wikimedia.org/wiki/File:George_Canning,_Prime_Minister_of_The_United_Kingdom.jpg","politician, diplomat, lawyer, writer, bretteur",politician
Thomas Carew,Literature,Male,1594,"London, England, United Kingdom",1,Q2040910,1594,3.15E+08,4639,1640-03-22,Carew,Thomas,,https://commons.wikimedia.org/wiki/File:Vandyke_-_Thomas_Carew.jpg,"poet, writer",poet
Henry Carey,Literature,Male,1687,"London, England, United Kingdom",1,Q1606590,1687-08-27,14965532,4651,1743-10-05,Carey,Henry,,https://commons.wikimedia.org/wiki/File:Henry_Carey_by_Grignion.jpg,"poet, composer, writer",poet
Will Carleton,Literature,Male,1845,"Hudson, Michigan, United States",10,Q8002737,1845-10-21,18645942,,1912-12-18,Carleton,Will,,https://commons.wikimedia.org/wiki/File:Will_Carleton_001.jpg,"journalist, poet, writer",journalist
Thomas Carlyle,Literature,Male,1795,"Ecclefechan, Dumfries and Galloway, Scotland, United Kingdom",8,Q151403,1795-12-04,39390702,4697,1881-02-05,Carlyle,Thomas,,https://commons.wikimedia.org/wiki/File:Picture_of_Thomas_Carlyle.jpg,"linguist, literary historian, historian, translator, mathematician, philosopher, essayist, writer, literary critic, novelist, teacher",linguist
Bliss Carman,Literature,Male,1861,"Fredericton, New Brunswick, Canada",10,Q3068116,1861-04-15,29655268,32294,1929-06-08,Carman,Bliss,,https://commons.wikimedia.org/wiki/File:Page026_CanadianSingersAndTheirSongs_CarmanBliss.jpg,"poet, writer, journalist, editor",poet
Julia Abigail Fletcher Carney,Literature,Female,1823,"Lancaster, Worcester County, Massachusetts, United States",9,Q13563238,1823-04-06,55613629,,1908-11-01,Carney,Julia,A.F.,https://commons.wikimedia.org/wiki/File:Portrait_of_Julia_Abigail_Fletcher_Carney.jpg,"poet, writer",poet
Joseph Edwards Carpenter,Arts,Male,1813,"London, England, United Kingdom",8,Q6282867,1813-11-02,72132039,,1885-05-06,Carpenter,Joseph,E,,"playwright, composer, songwriter",playwright
Lewis Carroll,Literature,Male,1832,"Daresbury, Cheshire, England",10,Q38082,1832-01-27,66462036,7749,1898-01-14,Carroll,Lewis,,https://commons.wikimedia.org/wiki/File:LewisCarrollSelfPhoto.jpg,"mathematician, logician, photographer, poet, deacon, children's writer, diarist, novelist, writer, autobiographer, philosopher",mathematician
Robert Carruthers,Literature,Male,1799,"Dumfries and Galloway, Scotland",8,Q7342789,1799,24841961,4770,1878,Carruther,Robert,,https://commons.wikimedia.org/wiki/File:Robert_Caruthers_(ca._1840).jpg,"lexicographer, linguist, historian, journalist, literary critic, literary editor",lexicographer
Alice Cary,Literature,Female,1820,"Cincinnati, Ohio, United States",10,Q606543,1820-04-26,1.04E+08,,1871-02-12,Cary,Alice,,https://commons.wikimedia.org/wiki/File:Alice_cary_portrait_in_cary_cottage.jpg,"poet, novelist, writer, children's writer, suffragist",poet
Phoebe Cary,Literature,Female,1824,"Cincinnati, Ohio, United States",10,Q1235042,1824-09-04,21080934,,1871-07-31,Cary,Phoebe,,https://commons.wikimedia.org/wiki/File:Phoebe_cary_portrait_in_cary_cottage_(2).jpg,"poet, writer",poet
Catullus,Literature,Male,-84,"Verona, Veneto, Italy",8,Q163079,-84,1.00E+08,,-54,Catullus,,,https://commons.wikimedia.org/wiki/File:Catull_Sirmione.jpg,"poet, writer",poet
Madison Cawein,Literature,Male,1865,"Louisville, Kentucky, United States",10,Q6727897,1865-03-23,72557849,,1914-12-08,Cawein,Madison,J,https://commons.wikimedia.org/wiki/File:Mason_Cawein_1905.jpg,"poet, writer",poet
Susanna Centlivre,Literature,Female,1667,"Whaplode, United Kingdom",4,Q931103,1667,41874559,4994,1723-12-01,Centlivre,Susannah,,https://commons.wikimedia.org/wiki/File:Susanna_Centlivre.jpg,"poet, playwright, writer, actor",poet
Miguel de Cervantes,Literature,Male,1547,"Alcalá de Henares, Madrid, Spain",1,Q5682,1547-09-29,17220427,,1616-04-22,Cervantes,Miguel de,,https://commons.wikimedia.org/wiki/File:Cervantes_Jáuregui.jpg,"novelist, playwright, poet, lyricist, soldier, writer, accountant, tax collector",novelist
Joseph Chamberlain,"Military, Politics, and Law",Male,1836,"London, England, United Kingdom",10,Q315999,1836-07-08,76324934,32350,1914-07-02,Chamberlain,Joseph,,https://commons.wikimedia.org/wiki/File:Joseph_Chamberlain_in_colour.jpg,politician,politician
Robert Chambers,Literature,Male,1802,"Peebles, Scotland",8,Q515008,1802-07-10,61590299,5079,1871-03-17,Chambers,Robert,,"https://commons.wikimedia.org/wiki/File:Robert_Chambers,_publisher,_ca1863.jpg","writer, publisher, historian, biographer, biologist, naturalist, geologist",writer
William Ellery Channing,Religion,Male,1780,"Newport, Rhode Island, United States",9,Q1352783,1780-04-07,44322076,,1842-10-02,Channing,William,E,https://commons.wikimedia.org/wiki/File:WilliamElleryChanning.jpg,"theologian, pastor, writer, Christian minister",theologian
George Chapman,Literature,Male,1559,"Hertfordshire, England, United Kingdom",7,Q342720,1559,41879013,5118,1634-05-12,Chapman,George,,https://commons.wikimedia.org/wiki/File:George_Chapman.jpg,"playwright, linguist, poet, translator, writer",playwright
DNE,,,,,1,,,,,,Charles,,,,,
Charles II of England,"Military, Politics, and Law",Male,1630,"London, England, United Kingdom",1,Q122553,1630-05-29,88984774,5144,1685-02-06,Charles II,,,https://commons.wikimedia.org/wiki/File:Sir_Peter_Lely_(1618-80)_-_Charles_II_(1630-1685)_-_RCIN_405672_-_Royal_Collection.jpg,"politician, slave trader, sovereign, art collector, monarch",politician
Pierre Charron,Religion,Male,1541,"Paris, France",8,Q463846,1541,32015289,,1603-11-16,Charron,,,https://commons.wikimedia.org/wiki/File:CharronDet.jpg,"philosopher, theologian, writer, cleric",philosopher
Salmon P. Chase,"Military, Politics, and Law",Male,1808,"Cornish, New Hampshire, United States",8,Q433051,1808-01-13,47569925,,1873-05-07,Chase,Salmon,P,"https://commons.wikimedia.org/wiki/File:Mathew_Brady,_Portrait_of_Secretary_of_the_Treasury_Salmon_P._Chase,_officer_of_the_United_States_government_(1860–1865,_full_version)_(1).jpg","politician, judge, lawyer, writer",politician
Geoffrey Chaucer,Literature,Male,1343,"London, England, United Kingdom",5,Q5683,1343,1.00E+08,5191,1400-10-25,Chaucer,Geoffrey,,https://commons.wikimedia.org/wiki/File:Portrait_of_Geoffrey_Chaucer_(4671380)_(cropped)_02.jpg,"linguist, poet, lyricist, philosopher, politician, translator, astrologer, writer",linguist
Andrew Cherry,Arts,Male,1762,"Limerick, Munster, Ireland",7,Q4756596,1762-01-11,57298833,5222,1812-02-12,Cherry,Andrew,,"https://commons.wikimedia.org/wiki/File:Andrew_Cherry_as_Lazarillo,_by_James_Saxon.jpg","actor, songwriter, playwright",actor
Lydia Maria Child,Literature,Female,1802,"Medford, Middlesex County, Massachusetts, United States",5,Q443132,1802-02-11,73891035,,1880-10-20,Child,Lydia,Maria,https://commons.wikimedia.org/wiki/File:Lydia_Maria_Child.jpg,"novelist, poet, journalist, writer, geologist, philosopher",novelist
Thomas Holley Chivers,Literature,Male,1809,"Washington, Georgia, United States",10,Q979771,1809-10-18,77109718,,1858-12-18,Chivers,Thomas,H,https://commons.wikimedia.org/wiki/File:ThomasHolleyChivers.jpg,"poet, writer",poet
Rufus Choate,"Military, Politics, and Law",Male,1799,"Ipswich, Essex County, Massachusetts, United States",3,Q2174770,1799-10-01,33288487,,1859-07-13,Choate,Rufus,,https://commons.wikimedia.org/wiki/File:RufusChoate.jpg,"politician, lawyer, writer",politician
Henry Chorley,Literature,Male,1808,"Billinge, Lancashire, England, United Kingdom",9,Q5719397,1808-12-15,56757298,5350,1872-02-16,Chorley,Henry,F,,"journalist, writer, music critic, literary critic",journalist
David Christy,Society,Male,1869,"Ballarat East, Ballarat, Victoria, Australia",9,Q5232370,1869-07-03,,,1919-07-02,Christy,David,,https://commons.wikimedia.org/wiki/File:DavidChristy.jpg,Australian rules football player,Australian rules football player
Benjamin Church,"Military, Politics, and Law",Male,1639,"Plymouth, Massachusetts, United States",7,,1639,,,1718,Church,Benjamin,,,,
Charles Churchill,Literature,Male,1731,"Westminster, London, England, United Kingdom",1,Q1063958,1731-02-01,36938051,5397,1764-11-04,Churchill,Charles,,https://commons.wikimedia.org/wiki/File:Churchill_-_from_an_origl._A._Smith_sculp._LCCN2012648933.jpg,"poet, writer",poet
